dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls,harmonic_mean
10,0,5,True,True,True,50,7,3,0,10,5,3,0,3,True,500,1,97.0,79.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,5,3,0,4,True,500,1,79.0,51.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,5,3,0,6,True,500,1,84.0,78.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,5,3,0,8,True,500,1,91.0,60.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,5,3,0,9,True,500,1,182.0,59.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,5,3,0,10,True,500,1,76.0,61.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,5,3,0,10,True,1000,1,505.0,62.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,5,4,0,10,True,1000,1,163.0,100.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,5,5,0,10,True,1000,1,136.0,80.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,6,2,0,10,True,1000,1,247.0,71.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,6,3,0,10,True,1000,1,539.0,84.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,6,4,0,10,True,1000,1,278.0,69.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,7,2,0,10,True,1000,1,114.0,52.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,7,3,0,10,True,1000,1,109.0,51.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,7,5,0,10,True,1000,1,148.0,84.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,8,4,0,10,True,1000,1,163.0,79.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,3,0,10,8,5,0,10,True,1000,1,134.0,69.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,4,0,10,5,2,0,10,True,1000,1,123.0,57.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,4,0,10,5,3,0,1,True,500,1,82.0,38.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,4,0,10,5,3,0,4,True,500,1,61.0,80.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,4,0,10,5,3,0,6,True,500,1,85.0,93.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,4,0,10,5,3,0,7,True,500,1,100.0,73.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,4,0,10,5,3,0,10,True,500,1,94.0,49.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,4,0,10,6,3,0,10,True,1000,1,126.0,59.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,4,0,10,8,4,0,10,True,1000,1,271.0,66.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,4,0,10,10,4,0,10,True,1000,1,131.0,44.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,5,0,10,5,3,0,7,True,500,1,84.0,76.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,5,0,10,5,3,0,8,True,500,1,88.0,20.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,5,0,10,8,3,0,10,True,1000,1,120.0,90.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,7,5,0,10,9,3,0,10,True,1000,1,104.0,19.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,4,4,0,10,True,1000,1,398.0,93.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,4,5,0,10,True,1000,1,458.0,85.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,2,0,10,True,1000,1,249.0,57.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,3,0,1,True,500,1,75.0,94.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,3,0,2,True,500,1,107.0,74.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,3,0,4,True,500,1,103.0,62.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,3,0,5,True,500,1,82.0,73.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,3,0,6,True,500,1,86.0,42.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,3,0,7,True,500,1,116.0,50.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,3,0,8,True,500,1,138.0,53.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,3,0,9,True,500,1,124.0,48.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,3,0,10,True,500,1,158.0,87.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,3,0,10,True,1000,1,1281.0,65.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,5,5,0,10,True,1000,1,244.0,84.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,6,2,0,10,True,1000,1,925.0,68.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,6,4,0,10,True,1000,1,1263.0,49.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,7,3,0,10,True,1000,1,148.0,96.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,7,4,0,10,True,1000,1,103.0,57.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,8,4,0,10,True,1000,1,415.0,60.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,8,5,0,10,True,1000,1,127.0,49.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,9,5,0,10,True,1000,1,939.0,72.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,2,0,10,10,2,0,10,True,1000,1,139.0,93.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,5,3,0,1,True,500,1,95.0,85.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,5,3,0,3,True,500,1,109.0,81.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,5,3,0,4,True,500,1,83.0,41.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,5,3,0,6,True,500,1,113.0,91.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,5,3,0,7,True,500,1,84.0,60.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,5,3,0,8,True,500,1,88.0,81.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,5,3,0,9,True,500,1,94.0,76.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,5,3,0,10,True,1000,1,143.0,30.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,9,3,0,10,5,4,0,10,True,1000,1,119.0,46.0,1,1,1,1.0,1.0,1.0
