dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,m_alive,o_alive,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls
10,0,2,False,True,True,50,3,2,0,10,10,2,0,10,True,500,0,0,1.0,,,0,0,2,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,2,0,10,True,1000,0,0,1.0,,,0,0,2,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,3,0,10,True,500,1,0,1.0,38.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,3,0,10,True,500,2,0,1.0,64.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,3,0,10,True,1000,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,3,0,10,True,1000,2,0,1.0,53.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,4,0,10,True,500,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,4,0,10,True,500,100,0,1.0,18.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,4,0,10,True,1000,0,0,1.0,,,0,0,1,0.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,4,0,10,True,1000,100,0,1.0,68.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,5,0,10,True,500,1,0,1.0,88.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,5,0,10,True,500,2,0,1.0,4.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,5,0,10,True,1000,3,0,1.0,59.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,10,5,0,10,True,1000,90,5,1.0,42.0,68.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,3,2,0,10,True,500,99,1,1.0,62.0,90.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,3,2,0,10,True,500,100,0,1.0,47.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,3,2,0,10,True,1000,100,0,1.0,56.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,3,3,0,10,True,500,100,0,1.0,59.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,3,3,0,10,True,1000,99,1,1.0,58.0,86.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,3,3,0,10,True,1000,100,0,1.0,59.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,3,4,0,10,True,500,100,0,1.0,51.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,3,4,0,10,True,1000,100,0,1.0,51.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,3,5,0,10,True,500,100,0,1.0,49.5,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,3,5,0,10,True,1000,100,0,1.0,46.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,4,2,0,10,True,500,96,1,1.0,48.0,92.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,4,2,0,10,True,500,98,1,1.0,61.0,53.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,4,2,0,10,True,1000,100,0,1.0,54.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,4,3,0,10,True,500,98,1,1.0,51.0,91.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,4,3,0,10,True,500,100,0,1.0,52.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,4,3,0,10,True,1000,97,1,1.0,56.0,83.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,4,4,0,10,True,500,92,3,1.0,52.0,75.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,4,4,0,10,True,500,98,1,1.0,36.0,98.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,4,4,0,10,True,1000,99,1,1.0,66.0,92.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,4,5,0,10,True,500,98,1,1.0,68.0,75.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,4,5,0,10,True,500,100,0,1.0,67.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,4,5,0,10,True,1000,100,0,1.0,58.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,5,2,0,10,True,500,100,0,1.0,41.0,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,5,2,0,10,True,1000,100,0,1.0,64.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,5,3,0,10,True,500,100,0,1.0,56.0,,2,0,2,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,5,3,0,10,True,1000,99,1,1.0,48.0,74.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,5,4,0,10,True,500,99,1,1.0,75.0,93.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,3,0,10,5,4,0,10,True,500,100,0,1.0,46.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,3,0,10,5,4,0,10,True,1000,98,1,1.0,59.0,50.0,1,1,1,1.0,1.0
