,dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls,harmonic_mean
1095,10,0,5,True,True,True,50,9,4,0,10,7,4,0,10,True,1000,1,127.0,40.0,1,1,1,1.0,1.0,1.0
1092,10,0,5,True,True,True,50,9,4,0,10,6,5,0,10,True,1000,1,173.0,58.0,1,1,1,1.0,1.0,1.0
1086,10,0,5,True,True,True,50,9,4,0,10,5,3,0,10,True,1000,1,138.0,46.0,1,1,1,1.0,1.0,1.0
1082,10,0,5,True,True,True,50,9,4,0,10,5,3,0,7,True,500,1,96.0,70.0,1,1,1,1.0,1.0,1.0
47,10,0,5,True,True,True,50,3,3,0,10,4,3,0,10,True,1000,1,166.5,92.5,2,2,2,1.0,1.0,1.0
1081,10,0,5,True,True,True,50,9,4,0,10,5,3,0,6,True,500,1,89.0,52.0,1,1,1,1.0,1.0,1.0
1072,10,0,5,True,True,True,50,9,4,0,10,4,3,0,10,True,1000,1,116.0,78.0,1,1,1,1.0,1.0,1.0
60,10,0,5,True,True,True,50,3,3,0,10,5,3,0,10,True,500,1,101.0,54.0,1,1,1,1.0,1.0,1.0
51,10,0,5,True,True,True,50,3,3,0,10,5,3,0,1,True,500,1,83.0,73.0,1,1,1,1.0,1.0,1.0
1063,10,0,5,True,True,True,50,9,3,0,10,10,2,0,10,True,1000,1,150.0,56.0,1,1,1,1.0,1.0,1.0
102,10,0,5,True,True,True,50,3,4,0,10,5,3,0,10,True,500,1,77.0,49.0,1,1,1,1.0,1.0,1.0
54,10,0,5,True,True,True,50,3,3,0,10,5,3,0,4,True,500,1,105.0,60.0,1,1,1,1.0,1.0,1.0
55,10,0,5,True,True,True,50,3,3,0,10,5,3,0,5,True,500,1,78.0,80.0,1,1,1,1.0,1.0,1.0
56,10,0,5,True,True,True,50,3,3,0,10,5,3,0,6,True,500,1,97.0,74.0,1,1,1,1.0,1.0,1.0
57,10,0,5,True,True,True,50,3,3,0,10,5,3,0,7,True,500,1,97.0,72.0,1,1,1,1.0,1.0,1.0
58,10,0,5,True,True,True,50,3,3,0,10,5,3,0,8,True,500,1,92.0,92.0,1,1,1,1.0,1.0,1.0
1118,10,0,5,True,True,True,50,9,5,0,10,5,3,0,1,True,500,1,86.0,29.0,1,1,1,1.0,1.0,1.0
1121,10,0,5,True,True,True,50,9,5,0,10,5,3,0,4,True,500,1,100.0,75.0,1,1,1,1.0,1.0,1.0
1137,10,0,5,True,True,True,50,9,5,0,10,7,4,0,10,True,1000,1,196.0,51.0,1,1,1,1.0,1.0,1.0
29,10,0,5,True,True,True,50,3,2,0,10,7,5,0,10,True,1000,1,607.5,59.0,2,2,2,1.0,1.0,1.0
